id,name,category,goal,deadline,totalRaised,description
10000001,STEM Kits for Rural Schools,Education,50000,2025-12-31,0,Provide STEM learning kits for underprivileged schools.
10000002,Community Health Van,Health,120000,2025-11-15,200,Mobile health check-ups for remote areas.
10000003,Open-Source Thai NLP,Tech,80000,2025-10-30,3650,Build datasets and tools for Thai NLP.
10000004,School Library Upgrade,Education,60000,2025-12-15,0,Renovate and restock a rural school library.
10000005,Clean Water Filters,Health,70000,2025-11-05,0,Install water filters in 10 villages.
10000006,Robotics Club Expansion,Education,90000,2025-12-25,0,Support robotics workshops.
10000007,Assistive Tech Prototypes,Tech,150000,2026-01-31,0,Prototyping low-cost assistive devices.
10000008,Local History Archive,Education,40000,2025-10-20,0,Digitize local history documents.
10000009,Community Solar Lights,Environment,100000,2026-02-10,1500,Solar street lights for rural safety.
10000010,Telemedicine Pilot,Health,95000,2026-01-05,0,Pilot telemedicine kits in remote clinics.
10000011,Agri IoT Sensors,Tech,110000,2026-02-28,600,Low-cost sensors to monitor soil and crops.
10000012,Inclusive Playground,Education,130000,2026-03-15,36600,Accessible playground for special-needs children.